1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
74,327.222484,18,12,28,16,36,15.91893165,21.03573111,13.51990593,5.833338,1.203704667,1.38889,0.496032143,0.922447907
227,2265.835146,27,78,50,72,58,35.93394945,40.78503263,18.0650262,2.500002,0.438034538,3.333336,0.60555604,0.497594059
215,1860.557044,86,40,42,47,75,31.15351329,51.92252216,30.33842871,4.16667,0.5277782,1.111112,0.489418381,0.43817337
469,6225.282758,10,153,123,183,67,47.78468642,48.82574712,15.45805252,1.111112,0.412128144,2.222224,0.483288553,0.408305274
358,1152.223144,165,72,54,67,43,11.58660145,21.49224517,13.24185873,3.611114,0.497685583,1.944446,0.637860593,0.440929412
110,645.000516,23,37,19,31,50,21.1091078,26.68967652,17.3888847,3.055558,0.495495892,7.222228,0.789474316,0.833334
143,199.444604,88,15,14,26,24,5.020983038,13.0545559,7.227167574,4.16667,0.703704267,1.38889,0.515873429,0.427525008
84,64.722274,56,10,12,6,16,2.773811743,8.321435229,4.394276646,4.16667,0.972223,2.500002,0.717593167,0.641989575
31,75.833394,10,8,4,9,16,8.806458658,13.0000104,6.436455312,2.222224,0.72916725,0.555556,0.4861115,0.531070014
119,380.000304,53,18,20,28,25,11.49580752,20.72728931,10.86034144,3.888892,0.524691778,1.111112,0.416667,0.431250359
58,286.389118,3,17,11,27,26,17.77587629,18.74546954,7.283827564,2.222224,0.539216118,1.666668,0.530303455,0.495237855
259,1228.889872,72,61,46,80,38,17.08109475,23.65777294,12.64042017,3.333336,0.487249934,2.77778,0.555556,0.443457429
71,97.500078,53,7,8,3,24,4.943665927,19.5000156,8.761746929,3.888892,0.952381714,0.833334,0.416667,0.515895548
104,335.833602,52,16,15,21,32,11.6250093,23.2500186,12.66766199,3.611114,0.59027825,1.111112,0.518518933,0.456932766
50,333.055822,1,16,20,13,37,23.98001918,24.46940733,9.20179663,2.500002,0.65972275,1.38889,0.4583337,0.609373014
36,91.944518,11,11,7,7,24,9.1944518,13.24001059,8.154996521,1.38889,0.631313636,2.222224,0.833334,0.639138002
65,470.278154,6,28,18,13,39,26.04617468,28.69493821,11.53314621,1.944446,0.744048214,3.055558,0.879630333,0.850067824
84,65.555608,71,6,7,0,32,2.809526057,18.15386068,7.677970663,3.611114,1.481482667,2.222224,1.150794571,0.621887506
71,637.50051,7,28,13,23,44,32.32396952,35.85940369,14.00589126,1.944446,0.476190857,1.944446,0.641026154,0.537134632
105,18.611126,100,2,1,2,14,0.638095749,13.40001072,2.872695764,3.611114,1.944446,0.555556,0.555556,0.361038785
2999,72535.33581,78,622,543,1756,105,87.07142678,89.39651109,20.31948566,6.388894,0.364862743,3.333336,0.417945904,0.337719656
131,759.445052,4,33,40,54,86,20.8702457,21.52757628,15.81206791,11.388898,1.321549879,4.16667,0.99305635,1.51633333
619,1078.056418,492,42,54,31,47,6.269795,30.55907957,12.98430376,3.888892,0.694445,1.944446,0.529835815,0.311520137
46,13.611122,39,2,5,0,11,1.065218243,7.0000056,2.711311072,3.055558,2.222224,0.833334,0.6666672,0.555556
52,236.389078,2,22,15,13,32,16.36539771,17.02001362,6.59182157,3.055558,0.896465364,4.444448,1.240741733,1.241018099
42,179.444588,6,10,6,20,23,15.38096469,17.9444588,7.244686466,2.500002,0.7222228,0.833334,0.509259667,0.590890678
82,224.166846,43,16,16,7,38,9.841471288,20.69232425,12.54470476,4.444448,1.07638975,1.944446,0.781250625,0.856732381
231,509.444852,163,22,21,25,41,7.939400291,26.97060981,13.86286116,3.611114,0.732323818,1.666668,0.740741333,0.418583184
71,410.833662,29,28,11,3,55,20.83100258,35.21431389,21.11599659,1.666668,0.555556,2.222224,1.313132364,0.691823302
99,1097.2231,10,42,31,16,64,39.89902182,44.38205798,19.29655513,3.055558,0.58862481,2.500002,0.725807032,0.73330615
94,576.944906,7,35,34,18,39,22.09576236,23.87358232,10.69525988,3.611114,0.706349771,1.38889,0.596405706,0.717609399
95,77.500062,74,4,9,8,26,2.936844455,13.28572491,7.036093159,5.55556,1.805557,1.111112,0.709877111,0.636958008
50,283.889116,10,20,14,6,42,20.44001635,25.55002044,15.16731179,2.222224,0.694445,1.38889,0.654762429,0.690964051
187,881.667372,49,49,55,34,44,16.97327561,23.0000184,13.07810826,4.444448,0.691610531,2.500002,0.555556,0.645820732
402,1021.111928,304,47,32,19,58,9.144285922,37.51023409,17.92834392,4.444448,0.927896723,5.000004,1.1805565,0.623764709
417,6961.950014,13,134,118,152,83,60.10316559,62.03717834,19.12525553,4.16667,0.541045209,3.333336,0.602637017,0.640292029
2278,61485.60474,9,405,376,1488,108,97.16776869,97.55318514,14.42381805,2.77778,0.364197822,3.055558,0.392287548,0.269476843
981,14863.623,15,346,285,335,95,54.54540551,55.39238386,26.20716586,5.277782,0.485710087,4.16667,0.58284647,0.588553492
117,666.389422,9,49,38,21,44,20.50428991,22.21298073,11.94861407,2.222224,0.634921143,2.500002,0.789474316,0.764904417
120,858.056242,45,34,17,24,54,25.74168726,41.18669962,22.59266477,3.611114,0.457516706,1.666668,0.702614941,0.519675053
137,995.278574,51,32,28,26,54,26.15330559,41.66282403,21.70148088,4.16667,0.642361625,1.944446,0.595238571,0.576756443
195,812.50065,81,36,40,38,41,15.000012,25.65791526,14.28863004,3.611114,0.6250005,1.666668,0.4722226,0.453756445
282,933.33408,180,43,37,22,51,11.91490315,32.94120282,16.99256248,3.611114,0.581395814,2.222224,0.645646162,0.422577465
72,217.222396,25,14,12,21,24,10.8611198,16.63831118,9.071399966,2.500002,0.634921143,1.111112,0.439815167,0.436688624
122,205.55572,92,12,11,7,31,6.065578623,24.6666864,10.91040727,3.888892,0.7638895,1.666668,0.505050909,0.438472962
219,1011.945254,112,59,33,15,59,16.6347165,34.04675621,19.83680856,4.16667,0.532015492,3.055558,0.85016903,0.583647641
226,1305.278822,89,59,53,25,50,20.79205203,34.29929751,18.20930478,3.888892,0.546139797,1.38889,0.587002566,0.503515385
108,558.611558,19,19,41,29,43,18.62038527,22.59552369,15.12052365,1.944446,0.628655474,0.555556,0.284553073,0.354868921
